Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,14.370000,14.370000,13.150000,13.190000,12.545382,92800
2020-04-02,13.300000,13.580000,12.730000,13.070000,12.431246,42200
2020-04-03,12.830000,13.110000,12.520000,12.650000,12.031774,44600
2020-04-06,12.860000,12.880000,12.530000,12.790000,12.164930,109700
2020-04-07,13.100000,13.130000,12.750000,12.850000,12.222001,50300
2020-04-08,13.300000,13.300000,12.910000,13.050000,12.412225,40000
2020-04-09,13.150000,13.720000,13.150000,13.520000,12.859256,43300
2020-04-13,13.400000,13.610000,13.400000,13.450000,12.792676,20600
2020-04-14,13.650000,13.700000,13.500000,13.530000,12.868767,25300
2020-04-15,13.790000,13.790000,13.460000,13.520000,12.859256,61300
2020-04-16,13.520000,13.780000,13.450000,13.510000,12.849743,57600
2020-04-17,13.540000,13.550000,13.430000,13.450000,12.792676,31000
2020-04-20,13.220000,13.700000,13.220000,13.530000,12.868767,102300
2020-04-21,13.410000,13.640000,13.410000,13.640000,12.973389,24800
2020-04-22,13.740000,13.940000,13.660000,13.850000,13.173127,45600
2020-04-23,13.790000,13.800000,13.350000,13.490000,12.830722,46600
2020-04-24,13.800000,13.800000,13.280000,13.280000,12.630984,30000
2020-04-27,13.390000,13.450000,13.280000,13.310000,12.659517,13800
2020-04-28,13.200000,13.330000,12.880000,13.260000,12.611963,26500
2020-04-29,13.230000,13.520000,13.180000,13.410000,12.814548,34800
2020-04-30,13.520000,13.520000,13.230000,13.520000,12.919664,22100
2020-05-01,13.510000,13.520000,13.270000,13.450000,12.852773,21900
2020-05-04,13.520000,13.670000,13.300000,13.490000,12.890997,21100
2020-05-05,13.490000,13.670000,13.230000,13.290000,12.699879,85400
2020-05-06,13.320000,13.550000,13.270000,13.310000,12.718988,33400
2020-05-07,13.460000,13.620000,13.400000,13.580000,12.977001,18100
2020-05-08,13.620000,13.620000,13.440000,13.580000,12.977001,25900
2020-05-11,13.610000,13.700000,13.450000,13.680000,13.072558,25100
2020-05-12,13.700000,13.780000,13.470000,13.750000,13.139452,19300
2020-05-13,13.800000,13.850000,13.490000,13.600000,12.996112,23400
2020-05-14,13.160000,13.480000,13.160000,13.220000,12.632987,33300
2020-05-15,13.370000,13.460000,13.210000,13.320000,12.728546,23900
2020-05-18,13.450000,13.800000,13.320000,13.590000,12.986557,59500
2020-05-19,13.540000,13.690000,13.540000,13.670000,13.063004,38700
2020-05-20,13.900000,13.940000,13.720000,13.900000,13.282790,32000
2020-05-21,13.840000,14.500000,13.810000,14.000000,13.378351,39600
2020-05-22,14.480000,14.480000,14.040000,14.250000,13.617249,49900
2020-05-26,13.630000,14.160000,13.520000,14.100000,13.473911,157300
2020-05-27,14.140000,14.220000,14.140000,14.160000,13.531244,76900
2020-05-28,14.170000,14.170000,13.980000,14.150000,13.581157,34900
2020-05-29,14.150000,14.160000,14.090000,14.130000,13.561962,53900
2020-06-01,14.170000,14.210000,14.110000,14.140000,13.571560,47400
2020-06-02,14.190000,14.190000,14.010000,14.130000,13.561962,36100
2020-06-03,14.140000,14.150000,13.980000,14.040000,13.475578,35300
2020-06-04,14.050000,14.050000,13.950000,14.050000,13.485176,28700
2020-06-05,14.000000,14.050000,13.960000,14.030000,13.465981,41700
2020-06-08,14.030000,14.030000,13.960000,14.000000,13.437186,54000
2020-06-09,14.010000,14.010000,13.950000,13.990000,13.427588,25700
2020-06-10,13.970000,13.980000,13.920000,13.980000,13.417991,60200
2020-06-11,14.030000,14.030000,13.800000,13.830000,13.274019,75000
2020-06-12,13.760000,13.870000,13.760000,13.850000,13.293218,70700
2020-06-15,13.930000,13.950000,13.850000,13.930000,13.370000,56100
2020-06-16,13.930000,14.130000,13.930000,14.130000,13.561962,45400
2020-06-17,14.080000,14.130000,13.980000,14.120000,13.552361,35900
2020-06-18,14.110000,14.210000,14.070000,14.130000,13.561962,28900
2020-06-19,14.240000,14.240000,14.130000,14.150000,13.581157,24700
2020-06-22,14.210000,14.230000,14.150000,14.170000,13.600353,29800
2020-06-23,14.150000,14.290000,14.150000,14.240000,13.667539,39400
2020-06-24,14.320000,14.390000,14.100000,14.160000,13.590754,49000
2020-06-25,14.240000,14.340000,14.030000,14.070000,13.504373,64100
2020-06-26,14.160000,14.170000,13.980000,14.030000,13.465981,36700
2020-06-29,13.970000,13.970000,13.900000,13.950000,13.448627,32300
2020-06-30,13.920000,13.970000,13.880000,13.880000,13.381144,39000
2020-07-01,13.960000,13.960000,13.840000,13.930000,13.429347,58300
2020-07-02,13.900000,14.020000,13.860000,13.900000,13.400423,53800
2020-07-06,13.900000,14.140000,13.900000,14.100000,13.593237,98000
2020-07-07,14.100000,14.500000,14.100000,14.410000,13.892093,111900
2020-07-08,14.470000,14.680000,14.410000,14.560000,14.036704,62200
2020-07-09,14.700000,14.800000,14.560000,14.800000,14.268079,43600
2020-07-10,14.870000,14.870000,14.600000,14.820000,14.287357,38800
2020-07-13,15.000000,15.000000,14.830000,14.830000,14.297000,20900
2020-07-14,14.830000,14.830000,14.650000,14.690000,14.162029,28100
2020-07-15,14.750000,15.580000,14.710000,15.010000,14.470530,51500
2020-07-16,14.850000,14.850000,14.720000,14.810000,14.277719,31900
2020-07-17,14.950000,14.950000,14.760000,14.860000,14.325920,29400
2020-07-20,14.910000,15.130000,14.880000,14.880000,14.345202,36300
2020-07-21,15.070000,15.080000,14.850000,14.850000,14.316281,21800
2020-07-22,14.940000,15.050000,14.910000,14.930000,14.393406,36500
2020-07-23,14.950000,15.100000,14.900000,14.990000,14.451248,42600
2020-07-24,15.000000,15.210000,15.000000,15.030000,14.489811,33600
2020-07-27,15.250000,15.250000,15.130000,15.210000,14.663342,51300
2020-07-28,15.250000,15.300000,15.020000,15.250000,14.701904,45500
2020-07-29,15.290000,15.580000,15.290000,15.570000,15.010404,31700
2020-07-30,15.550000,16.430000,15.550000,15.950000,15.438220,38800
2020-07-31,16.080000,16.080000,15.600000,15.610000,15.109131,22000
2020-08-03,16.180000,16.180000,15.640000,15.830000,15.322071,44100
2020-08-04,15.940000,15.940000,15.600000,15.650000,15.147847,24900
2020-08-05,15.650000,15.650000,15.290000,15.650000,15.147847,33400
2020-08-06,15.650000,15.650000,15.360000,15.380000,14.886511,47500
2020-08-07,15.600000,15.600000,15.400000,15.530000,15.031699,27700
2020-08-10,15.530000,15.600000,15.320000,15.320000,14.828436,30000
2020-08-11,15.350000,15.600000,15.120000,15.120000,14.634854,105700
2020-08-12,15.290000,15.430000,15.210000,15.410000,14.915546,54600
